ID,Review
0,"The best part about this movie is that you can watch it over and over again n still not be content of watching it. I have watched this movie least 10 times over the past 12 years and still it makes me laugh as if i was watching it for the first time. I have great liking for good comics like the Orgazmo,Cheech n chong, Monty Python series and many others but this one in Hindi is one of my favorite outstanding movies. Some of them recently in Hindi are Golmaal,Munnabhai series and Herapheri series. SO all i can say is Hind comedy is finally evolving. But Andaaz Apna Apna is pretty different from the movies i have said above. Its what i call the Hindi stoned comedy and very few of the kind found around 1994 in Hindi cinema.Cheers to Rajkumar Santoshi for the brilliant movie."
1,"This is the Australian TV series. It is a classic. The stories and actors are excellent. Who can forget Picker and his gramophone or Chet being ambushed? This is cult TV. The Australian actors in the series were the best of their day and have immortality in The Outsiders. What can I say timeless adventure. The music and song just fantastic. The closing credits starting with the close up of the wheel, then Keir sleeping n being jostled around and then the long shot just cannot get much better than that. All 13 episodes are equally solid in the portrayal of the Australian myth and I think this is what this series has.It does not matter that the two main characters were from overseas, I think that is the key to the series and why it is so good."
2,"I saw this on TCM recently and, through the IMDb I found that there were seven ""Crime Doctor"" movies with Warner Baxter as the psychiatrist-detective. Baxter is a bit long in the tooth compared to his stolid performance in 42nd Street a decade earlier. Not noir, and a bit campy today, the movie also has a touch of the possible supernatural. The plot, black and white cinematography and characters are far more complex than those of the Mr. Moto and Charlie Chan series. There are subplots, unexpected twists and appearances by a number of B movie stalwartly we all should recognize immediately (none ever made it to the A status). It is a wonderfully unpredictable 70 minutes.<br /><br />I would love to see a boxed DVD series of these films."
3,"Golden Boy is ecchi humor (bordering on hentai) in the guise of ""educational moments."" The main character, Kintaro, wanders around getting himself into the silliest situations involving women... It's just that he's shy on the surface but analyses everything until he can learn something from it. The most striking feature of the series are the circumstances surrounding his ""education"", which are outright embarrassing, yet funny at the same time."
4,"If the screenwriter and director intended to open hearts with the movie as the musician wanted to do with his music, they succeeded with me. Commonplace human situations became original, personal and immediate so that I personally felt touched by each situation. I believe I would credit the power of music combined with the point of view of the person writing the movie. Without spoiling, I can say that I was very moved by the movie's approach to living. Haven't actually cried out of-what- joy? empathy? just deep emotion? in a very long time. I would love to find a way to show it to others. Saw it at Seattle International Film Festival."
5,"Ten out of ten stars is no exaggeration. This documentary provides the viewers with unique footage about the 2003 coup in Venezuela. This great film is now the minimum knowledge requirement if you want to express a competent opinion about Venezuela or Hugo Chavez.<br /><br />The dramatic, electrified atmosphere, the unique footage will allow you to experience a true historic moment. You'll feel like you're in the middle of the situation. <br /><br />The film will help you gain unique insight in the happenings of 2003 and will help you hear a side you will rarely hear on TV. It's something you shouldn't miss."
6,"""Meatballs"" is an ode to summer camp. Those of us who got to go to camp will see many of the scenes as we remember or wish they could have been.<br /><br />Bill Murray plays senior boys counselor Tripper Harrison, who really runs the camp. He reminds us of the funny cool staff member who everyone loves. Young campers gravitate toward him and if he speaks to you, you feel like you are family. This is one of Murray's best roles. He drives the film with his one liners and ad-libs.<br /><br />Chris Makepeace plays Rudy, the loner camper who is taken under Tripper's wing and breaks out of his shell.<br /><br />The rest of the campers and staff in the film were excellent as well.<br /><br />The overall theme of the movie is the underdog overcoming obstacles to finally win. From Rudy to Spaz to the Camp and even to Tripper himself, the underdogs of the film are the stars. The movie has heart.<br /><br />The film is fun and funny without being cruel or oversexed as some teen movies are today. The cast look and act like real people.<br /><br />The comedy and heart draw you in to the point that at the end, just like at camp, you are sad to leave.<br /><br />In my summer camp experience we had underwear run up flag poles, mystery meat, trying to sneak a peek into the girls cabin, the lunatic-with-the hook stories around the camp fire, and moving sleeping people out of their cabins and putting them elsewhere. But we also had a dedicated camp staff guiding us to be the best we could be.<br /><br />My favorite scene is the CIT overnight when they are canoeing across the lake singing a goofy song. The one line that cracks me up every time is when Tripper is announcing light outs the evening before Parent's Day and he ends ""Tomorrow is parents day, and you must look rested or Morty will be sent to the state penitentiary."""
7,"first real movie in this year. amazing long shots, sometimes with fix camera, so specific for Nordic cinema (let aside Dogma). A true auteur film I find it. Athmospherique :-) It simply delighted all my senses and keep in mind how the image goes violent and painful during the scenes when he's trying to kill himself. That's the point I don't think it stands up in the whole plot. Why, if this was an ideal world, couldn't you die but still you were keeping your conscience ? Either was the real world with ""tailored"" rules or was a ""fantastic"" world but in this case no accidents like people remembering how it was before can happen.<br /><br />It reminded me of Kafka and maybe more, of Huxley's Brave New World, especially in that part where sex was actually available to everyone, since it was viewed like a right to pleasure. It lacked a plot but I think it was better like this, since you realized and sensed the whole strange behavior of everyone, the absurdity and the lack of real sensations in this ""happy"" world.<br /><br />I think also that the end was brilliant. true world is indeed a homo homini lupus, you're eaten if you are not strong enough."
8,"I went it to see this film with caution. A suicidal ""comedy"" didn't seem consistent. Having a brother who is has attempted suicide and seeing the devastation that has caused our whole family, I know first hand how crushing it can be to deal with this issue. I must say - This film deals with it in a way that allows the viewer ""inside"" someone who is suffering and simply doesn't know why, or how to stop it. While the film is not perfect, it respects the subject matter and more importantly makes it accessible for the masses. I know for our family, humor has helped us through a lot of the pain. And, Max and Grace is just what it portends to be - a suicidal COMEDY. It's funny - And, I also felt that characters were real and vibrant. It's also extremely intelligent, yet simple. It cuts to the chase and I appreciate that! I give it a 9 and will recommend it."
9,Worst horror film ever but funniest film ever rolled in one you have got to see this film it is so cheap it is unbeliaveble but you have to see it really!!!! P.s watch the carrot
